ООО «КАДАСТР ПЛЮС»;9110005537;+7 (978) 731-82-26, (36569) 4-11-98;297406, РФ, Республика Крым, г. Евпатория, ул. 9 Мая, д. 47, А, пом. 5 Б;Директор Опалько Антон Вадимович
ООО ПСА «КРП»;1655274558;8(843)292-54-25;420111, РФ, Республика Татарстан, г. Казань, ул. Профсоюзная,  д. 17,  оф. 7;Директор Волокитина Юлия Александровна
ООО «Эльгран»;7814523845;+7 (812) 300-10-07 доб. 120;197227, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  пр. Комендантский,  д. 4,  литер А;Генеральный директор Глуздиков Виктор Викторович
АО «Лебединский ГОК»;3127000014;"+7 (472) 419-41-48; +7 (472) 419-56-64";309191, РФ,  Белгородская обл.,  Губкинский р-н,  г. Губкин, промышленная зона, промплощадка ЛГОКа;Управляющий директор Варичев Андрей Владимирович
ООО «Геодезист»;4246008800;+7 (905) 067-59-56;652472, РФ,  Кемеровская обл.,  г. Анжеро-Судженск,  ул. Коминтерна,  26;Генеральный директор Безунков Александр Анатольевич
ООО «Каролина»;3123455797;+7 (472) 231-21-02;308000, РФ,  Белгородская обл.,  г. Белгород,  ул. Конева,  д. 2,  оф. 17;Генеральный директор Карначев Павел Сергеевич
ООО «ТОМСКРЕМСТРОЙПРОЕКТ»;7017029554;"+7 (382) 255-65-13; +7 (382) 255-65-56";634034, РФ,  Томская обл.,  г. Томск,  ул. Белинского,  д. 50;Директор Малащук Виталий Никонович
ООО «ГлавГеоСтрой»;7728784113;+7 (967) 019-21-14;108813, РФ,  г. Москва,  г. Московский, ул. Хабарова,  д. 2, офис 605;Генеральный директор Журавлев Дмитрий Сергеевич
ООО «Азимут»;2352037729;+7 (861) 486-07-50;353500, РФ,  Краснодарский край,  г. Темрюк,  ул. Коммунаров,  д. 15, лит. а;Директор Орденцова Марина Николаевна
ООО «СМУ-95»;7734104422;"+7 (495) 623-34-34; +7 (495) 623-34-11";101000, РФ,  г. Москва,  г. Москва,  Большой Спасоглинищевский пер.,  д. 9/1,  стр. 14;Генеральный директор Лебедев Василий Валерьевич
ООО «Промстройизыскания»;4401074529;+7 (494) 233-37-65;156022, РФ,  Костромская обл.,  г. Кострома,  ул. Стопани,  д. 32,  н/п 35;Генеральный директор Смирнов Владимир Кимович
ЗАО «Радиан»;4027009512;"+7 (484) 278-81-50; +7 (910) 917-08-48";248600, РФ,  Калужская обл.,  г. Калуга,  ул. Космонавта Комарова,  д. 34/46;Генеральный директор Соломникова Татьяна Геннадьевна
ООО «Опора Плюс»;1655191830;"+7 (843) 227-52-54; +7 (843) 210-16-80";422624, РФ,  Республика Татарстан,  Лаишевский район,  с. Столбище,  ул. Объездная,  д. 8;Директор Баландин Евгений Валерьевич
ООО «ИЦ «Сибгеопрофиль»;3808215531;"+7 (395) 220-98-08; +7 (395) 272-58-05; +7 (395) 252-68-58";664050, РФ,  Иркутская обл.,  г. Иркутск,  ул. Байкальская, д. 321, кв. 46;Генеральный директор Петров Александр Иванович
ИП Булдаков Владимир Петрович;590805437203;+7 (342) 244-94-06;614068, РФ,  Пермский край,  г. Пермь,  ул. Екатерининская,  д. 166,  кв. 29;Булдаков Владимир Петрович
ООО «ЮГСПЕЦИНЖСТРОЙ»;6167125456;+7 (863) 206-60-46;344010, РФ,  Ростовская обл.,  г. Ростов-на-Дону, ул. Ченцова, д. 1,  А;Генеральный директор Котиков Денис Валериевич
ОАО «АМИГЭ»;5199000024;"+7 (815) 245-23-72; +7 (815) 245-91-87";183071, РФ,  Мурманская обл.,  г. Мурманск,  ул. Карла Маркса ,  д. 19;Генеральный директор Бондарев Владимир Николаевич
ООО «НПК ГЕО ИНФО»;2511046425;"+7 (423) 432-89-79; +7 (423) 431-51-86";692519, РФ,  Приморский край,  г. Уссурийск,  ул. Володарского,  д. 90,  каб. 14;Директор Новоселов Игорь Михайлович
АО «ВНИИГ им. Б.Е. Веденеева»;7804004400;"+7 (812) 535-54-45; +7 (812) 535-67-20";195220, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  ул. Гжатская,  д. 21;Генеральный директор Беллендир Евгений Николаевич
МУП  «Архитектура и градостроительство» Белебеевского района РБ;0255013895;"+7 (347) 864-28-70; +7 (347) 865-03-89";452000, РФ,  Республика Башкортостан,  г. Белебей,  ул. Красная,  д. 83;Директор Вахитова Эльвира Фидратовна
ООО «КАДАСТР ПЛЮС»;9110005537;+7 (978) 731-82-26, (36569) 4-11-98;297406, РФ, Республика Крым, г. Евпатория, ул. 9 Мая, д. 47, А, пом. 5 Б;Директор Опалько Антон Вадимович
ООО ПСА «КРП»;1655274558;8(843)292-54-25;420111, РФ, Республика Татарстан, г. Казань, ул. Профсоюзная,  д. 17,  оф. 7;Директор Волокитина Юлия Александровна
ООО «ЗЕМЛЯ»;2129056123;"+7 (835) 262-66-16; +7 (835) 262-67-04";428032, РФ,  Чувашская Республика,  г. Чебоксары,  улица Ярославская,  дом 25;Директор Афанасьев Семен Валерианович
ООО «Эльгран»;7814523845;+7 (812) 300-10-07 доб. 120;197227, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  пр. Комендантский,  д. 4,  литер А;Генеральный директор Глуздиков Виктор Викторович
АО «Лебединский ГОК»;3127000014;"+7 (472) 419-41-48; +7 (472) 419-56-64";309191, РФ,  Белгородская обл.,  Губкинский р-н,  г. Губкин, промышленная зона, промплощадка ЛГОКа;Управляющий директор Варичев Андрей Владимирович
ООО «Геодезист»;4246008800;+7 (905) 067-59-56;652472, РФ,  Кемеровская обл.,  г. Анжеро-Судженск,  ул. Коминтерна,  26;Генеральный директор Безунков Александр Анатольевич
ООО «Каролина»;3123455797;+7 (472) 231-21-02;308000, РФ,  Белгородская обл.,  г. Белгород,  ул. Конева,  д. 2,  оф. 17;Генеральный директор Карначев Павел Сергеевич
ООО «ГлавГеоСтрой»;7728784113;+7 (967) 019-21-14;108813, РФ,  г. Москва,  г. Московский, ул. Хабарова,  д. 2, офис 605;Генеральный директор Журавлев Дмитрий Сергеевич
ООО «СМУ-95»;7734104422;"+7 (495) 623-34-34; +7 (495) 623-34-11";101000, РФ,  г. Москва,  г. Москва,  Большой Спасоглинищевский пер.,  д. 9/1,  стр. 14;Генеральный директор Лебедев Василий Валерьевич
ООО «Азимут»;6950120956;+7 (920) 159-40-10;170034, РФ,  Тверская область,  г. Тверь,  проспект Чайковского,  д. 19 ,  корпус 1, лит. А,  офис 302а;Генеральный директор Ковалевский Владимир Петрович
ООО «Промстройизыскания»;4401074529;+7 (494) 233-37-65;156022, РФ,  Костромская обл.,  г. Кострома,  ул. Стопани,  д. 32,  н/п 35;Генеральный директор Смирнов Владимир Кимович
ООО «Опора Плюс»;1655191830;"+7 (843) 227-52-54; +7 (843) 210-16-80";422624, РФ,  Республика Татарстан,  Лаишевский район,  с. Столбище,  ул. Объездная,  д. 8;Директор Баландин Евгений Валерьевич
ООО «ИЦ «Сибгеопрофиль»;3808215531;"+7 (395) 220-98-08; +7 (395) 272-58-05; +7 (395) 252-68-58";664050, РФ,  Иркутская обл.,  г. Иркутск,  ул. Байкальская, д. 321, кв. 46;Генеральный директор Петров Александр Иванович
ИП Булдаков Владимир Петрович;590805437203;+7 (342) 244-94-06;614068, РФ,  Пермский край,  г. Пермь,  ул. Екатерининская,  д. 166,  кв. 29;Булдаков Владимир Петрович
ООО «ЮГСПЕЦИНЖСТРОЙ»;6167125456;+7 (863) 206-60-46;344010, РФ,  Ростовская обл.,  г. Ростов-на-Дону, ул. Ченцова, д. 1,  А;Генеральный директор Котиков Денис Валериевич
ООО «НПК ГЕО ИНФО»;2511046425;"+7 (423) 432-89-79; +7 (423) 431-51-86";692519, РФ,  Приморский край,  г. Уссурийск,  ул. Володарского,  д. 90,  каб. 14;Директор Новоселов Игорь Михайлович
ООО «СахТИСИЗ»;6501213353;+7 (424) 242-30-72;693023, РФ,  Сахалинская обл.,  г. Южно-Сахалинск,  ул. Емельянова,  д. 11,  кв. 55;Генеральный директор Бабийчук Владимир Николаевич
ООО «Азимут»;5052016177;+7 (495) 790-13-67;141196, РФ,  Московская обл.,  г. Фрязино,  проезд Десантников,  д. 11;Генеральный директор Колосов Алексей Валентинович
АО «ВНИИГ им. Б.Е. Веденеева»;7804004400;"+7 (812) 535-54-45; +7 (812) 535-67-20";195220, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  ул. Гжатская,  д. 21;Генеральный директор Беллендир Евгений Николаевич
МУП  «Архитектура и градостроительство» Белебеевского района РБ;0255013895;"+7 (347) 864-28-70; +7 (347) 865-03-89";452000, РФ,  Республика Башкортостан,  г. Белебей,  ул. Красная,  д. 83;Директор Вахитова Эльвира Фидратовна
ООО «КАДАСТР ПЛЮС»;9110005537;+7 (978) 731-82-26, (36569) 4-11-98;297406, РФ, Республика Крым, г. Евпатория, ул. 9 Мая, д. 47, А, пом. 5 Б;Директор Опалько Антон Вадимович
ООО ПСА «КРП»;1655274558;8(843)292-54-25;420111, РФ, Республика Татарстан, г. Казань, ул. Профсоюзная,  д. 17,  оф. 7;Директор Волокитина Юлия Александровна
ООО «Компания «Потенциал»;0273058271;8 (3472) 40-21-77;450061, РФ, Республика Башкортостан, г. Уфа, ул. Интернациональная, д. 105/1;Генеральный директор Кузьменко Александр Леонидович
ООО «РГТ»;9709014842;8(499)682-64-71;119530, РФ, г. Москва, г. Москва, Очаковское шоссе, д. 34, офис 305;Генеральный директор Антонюк Владимир Юрьевич
ООО «Эльгран»;7814523845;+7 (812) 300-10-07 доб. 120;197227, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  пр. Комендантский,  д. 4,  литер А;Генеральный директор Глуздиков Виктор Викторович
ЗАО «Сибречпроект»;5406449910;"+7 (383) 223-69-37; +7 (383) 223-43-86; +7 (383) 223-53-78";630007, РФ,  Новосибирская обл.,  г. Новосибирск,  ул. Сибревкома,  д. 2;Генеральный директор Егоров Алексей Вячеславович
АО «Лебединский ГОК»;3127000014;"+7 (472) 419-41-48; +7 (472) 419-56-64";309191, РФ,  Белгородская обл.,  Губкинский р-н,  г. Губкин, промышленная зона, промплощадка ЛГОКа;Управляющий директор Варичев Андрей Владимирович
ООО «Азимут»;2352037729;+7 (861) 486-07-50;353500, РФ,  Краснодарский край,  г. Темрюк,  ул. Коммунаров,  д. 15, лит. а;Директор Орденцова Марина Николаевна
